name: Программист (C# / Python / Java / NodeJS)
link: https://rostov.hh.ru/vacancy/37342385?query=Python
salary_min: 70000
salary_max: 140000
salary_currency: руб

name: Web-разработчик PHP (backend)
link: https://rostov.hh.ru/vacancy/37031407?query=Python
salary_min: 120000
salary_max: 170000
salary_currency: руб

name: Специалист по информационной безопасности
link: https://rostov.hh.ru/vacancy/37375980?query=Python
salary_min: 70000
salary_max: 140000
salary_currency: руб

name: Frontend-разработчик midle (React.js \ ExtJS)
link: https://rostov.hh.ru/vacancy/37328608?query=Python
salary_min: 100000
salary_max: 150000
salary_currency: руб

name: Старший специалист по тестированию ПО
link: https://rostov.hh.ru/vacancy/37036702?query=Python
salary_min: 150000
salary_max: None
salary_currency: руб

name: Старший программист
link: https://rostov.hh.ru/vacancy/36348947?query=Python
salary_min: 180000
salary_max: None
salary_currency: руб

name: Программист Python
link: https://rostov.hh.ru/vacancy/36680277?query=Python
salary_min: 180000
salary_max: 210000
salary_currency: руб

name: Программист C++/Python
link: https://rostov.hh.ru/vacancy/37184106?query=Python
salary_min: 110000
salary_max: None
salary_currency: руб

name: Python Data Scientist
link: https://rostov.hh.ru/vacancy/36916080?query=Python
salary_min: 150000
salary_max: None
salary_currency: руб

name: Разработчик Python / Django
link: https://rostov.hh.ru/vacancy/36876631?query=Python
salary_min: 150000
salary_max: 200000
salary_currency: руб

name: Senior Data Scientist
link: https://rostov.hh.ru/vacancy/37294434?query=Python
salary_min: 300000
salary_max: None
salary_currency: руб

name: Computer Vision Engineer (C++/Python)
link: https://rostov.hh.ru/vacancy/37313645?query=Python
salary_min: 170000
salary_max: 280000
salary_currency: руб

name: Вакансия backend разработчика (Python)
link: https://rostov.hh.ru/vacancy/37250261?query=Python
salary_min: 1000
salary_max: 1600
salary_currency: USD

name: Junior python разработчик (удаленная работа)
link: https://rostov.hh.ru/vacancy/37368736?query=Python
salary_min: 70000
salary_max: None
salary_currency: руб

name: Python разработчик
link: https://rostov.hh.ru/vacancy/37005696?query=Python
salary_min: 170000
salary_max: 220000
salary_currency: руб

name: Data Engineer (Python)
link: https://rostov.hh.ru/vacancy/36991105?query=Python
salary_min: 90000
salary_max: 150000
salary_currency: руб

name: Backend разработчик на python
link: https://rostov.hh.ru/vacancy/37161562?query=Python
salary_min: 100000
salary_max: None
salary_currency: руб

name: Разработчик Python Backend
link: https://rostov.hh.ru/vacancy/36916013?query=Python
salary_min: 150000
salary_max: None
